Date         PM25    PBLH     PBLHm    T2         SPD     RAIN
2019073000   32.0733 679.2366   1.5609 299.9785   3.4494   0.0170
2019073100   32.4205 751.1113   2.7950 300.1668   2.8045   0.0178
2019080100   40.9073 678.1801   2.7153 299.3578   2.5567   0.0848
2019080200   34.8030 526.4728   1.6454 296.9121   3.1187   0.0878
2019080300   39.0043 573.1367   2.8293 297.0025   2.4601   0.0835
2019080400   40.9819 528.3528   0.8979 295.8246   3.7174   0.6049
2019080500   40.5185 247.2400   2.2722 293.6310   2.7963   0.5288
2019080600   45.8783 415.1921   2.1547 296.2054   2.7502   0.1303
2019080700   31.7703 422.4979   3.6715 296.1289   2.3364   0.4519
2019080800   42.0948 682.0989   4.0337 297.9305   2.3175   0.0545
2019080900   41.7407 363.1061   4.7022 296.3228   2.4789   1.7832
2019081000   33.4686 385.3718   2.3659 294.4564   2.8390   0.4794
2019081100   28.5985 338.8262   1.6930 291.9203   3.2551   0.1388
2019081200   26.0027 540.0831   2.2951 293.6635   3.5045   0.0706
2019081300   31.8081 438.5685   3.4764 293.7817   2.5317   0.0383
2019081400   29.2415 599.9824   3.8486 295.7735   2.3309   0.0005
2019081500   30.5380 535.4963   2.3500 295.9579   3.3758   0.1817
2019081600   15.6805 850.9635   0.5190 293.0632   5.5958   0.0157
2019081700   16.0403 798.6152   0.7061 294.1468   4.7471   0.0000
2019081800   29.3451 653.5853   2.3253 296.4232   2.7810   0.0000
2019081900   48.9780 704.7028   1.5170 298.4073   4.1070   0.0809
2019082000   45.0639 277.6793   1.1314 292.3283   4.0473   0.5481
2019082100   17.9844 690.8167   0.7293 294.6484   4.0776   0.0000
2019082200   16.6966 743.2305   0.5484 294.3098   4.5320   0.0000
2019082300   22.8503 615.8336   1.9959 295.6178   2.9850   0.0000
2019082400   25.1893 714.8162   2.3563 295.4902   2.7683   0.0018
2019082500   40.8357 621.6605   1.6498 295.4564   3.4003   0.0024
2019082600   58.8075 393.8596   2.0611 293.8881   3.1822   0.0816
2019082700   21.7871 968.2874   1.2504 294.8792   4.0789   0.0012
2019082800   14.8192 1038.2416   0.4501 292.0173   6.5730   0.0003
2019082900   15.9010 924.6619   0.4595 292.3610   5.6392   0.0006
2019083000   17.8223 834.4473   2.0812 292.6600   3.3792   0.0007
2019083100   25.9545 911.0479   4.3225 294.0071   2.3293   0.0010
2019090100   32.0483 776.0157 105.7063 294.5649   3.1127   0.0149
2019090200   43.1709 728.7465  57.0080 295.8141   3.4945   0.0165
2019090300   46.2932 674.1273  90.3266 295.2432   3.0495   0.0142
2019090400   47.0275 548.0718  66.7228 292.9793   3.2522   0.0314
2019090500   50.1959 443.2495  32.8232 292.3640   2.8462   0.0182
2019090600   57.7483 482.2607  98.9991 293.4502   3.0448   0.0267
